first_name,last_name,username,email,role_name,report_date,income,expenditures
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-01,0,91.99
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-02,0,99.45
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-03,936.86,84.33
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-04,0,46.62
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-05,0,31.79
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-06,0,105.07
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-07,0,36.08
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-08,0,50.8
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-09,0,72.08
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-10,1117.02,66.28
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-11,0,142.57
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-12,0,18.54
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-13,0,73.84
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-14,0,44.96
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-15,0,136.24
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-16,0,23.86
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-17,1099.25,121.4
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-18,0,119.3
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-19,0,122.66
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-20,0,38.25
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-21,0,45.13
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-22,0,149.63
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-23,0,48.42
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-24,1148.33,82.69
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-25,0,22.59
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-26,0,145.59
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-27,0,105.84
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-28,0,16.0
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-29,0,124.15
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-30,0,81.07
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-01-31,1041.74,58.5
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-01,0,144.09
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-02,0,84.58
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-03,0,60.94
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-04,0,104.47
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-05,0,127.59
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-06,0,56.15
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-07,1189.94,80.68
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-08,0,11.44
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-09,0,9.23
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-10,0,151.72
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-11,0,97.61
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-12,0,7.0
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-13,0,101.2
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-14,1041.32,156.43
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-15,0,6.36
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-16,0,126.43
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-17,0,154.56
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-18,0,40.97
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-19,0,39.29
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-20,0,8.12
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-21,979.84,112.52
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-22,0,115.27
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-23,0,11.08
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-24,0,93.42
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-25,0,59.09
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-26,0,39.86
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-27,0,127.14
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-02-28,1152.63,85.12
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-01,0,93.19
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-02,0,128.25
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-03,0,89.65
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-04,0,21.69
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-05,0,42.27
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-06,0,5.12
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-07,1036.73,39.26
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-08,0,1.83
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-09,0,150.64
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-10,0,64.72
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-11,0,40.39
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-12,0,33.6
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-13,0,139.97
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-14,1136.61,157.67
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-15,0,4.93
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-16,0,78.14
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-17,0,157.4
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-18,0,134.74
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-19,0,12.96
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-20,0,117.38
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-21,1036.73,78.96
Emily,Davis,emily_davis64,emily_davis64@example.com,USER,2025-03-22,0,15.82
