first_name,last_name,username,email,role_name,report_date,income,expenditures
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-01,0,111.48
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-02,0,33.11
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-03,1042.72,110.57
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-04,0,23.75
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-05,0,64.94
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-06,0,19.49
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-07,0,67.65
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-08,0,131.61
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-09,0,80.15
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-10,1055.23,135.2
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-11,0,21.79
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-12,0,73.6
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-13,0,153.28
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-14,0,116.82
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-15,0,17.6
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-16,0,111.99
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-17,1194.22,16.2
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-18,0,41.68
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-19,0,57.25
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-20,0,37.46
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-21,0,61.45
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-22,0,83.34
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-23,0,77.96
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-24,1153.71,88.09
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-25,0,32.49
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-26,0,154.13
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-27,0,115.17
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-28,0,45.31
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-29,0,32.02
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-30,0,71.68
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-01-31,1123.61,59.46
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-02-01,0,36.93
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-02-02,0,104.99
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-02-03,0,34.39
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-02-04,0,96.55
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-02-05,0,122.13
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-02-06,0,110.58
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-02-07,1162.32,32.16
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-02-08,0,56.65
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-02-09,0,37.67
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-02-10,0,146.28
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-02-11,0,89.06
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-02-12,0,80.87
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-02-13,0,125.69
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-02-14,995.01,124.36
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-02-15,0,91.63
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-02-16,0,55.56
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-02-17,0,61.29
Laura,Johnson,laura_johnson35,laura_johnson35@example.com,USER,2025-02-18,0,43.84
